BeerBrand,BeerType,AlcoholPercentage,Brewery,
*Florilège de Sureau*,fruit- en bloemenbier,"9,00%",Brasserie d'Ecaussinnes,?-?
Florilège d’Hibiscus,fruit- en bloemenbier,"9,00%",Brasserie d'Ecaussinnes,?-heden
Floris Cactus,witbier,"4,20%",Brouwerij Huyghe,?-heden
Floris Chocolat,bruin,"4,20%",Brouwerij Huyghe,?-heden
Floris Fraise,fruitbier,"3,60%",Brouwerij Huyghe,1995?-heden
Floris Framboise,fruitbier,"3,70%",Brouwerij Huyghe,1995?-heden
Floris Griotte,fruitbier,"3,00%",Brouwerij Huyghe,1995?-heden
Floris Honey,honingbier,"4,50%",Brouwerij Huyghe,?-heden
Floris Kriek,fruitbier,"3,60%",Brouwerij Huyghe,1995?-heden
Floris Mango,fruitbier,"3,60%",Brouwerij Huyghe,1995?-heden
Floris Ninkeberry,fruitbier,"3,60%",Brouwerij Huyghe,?-heden
Floris Passion,fruitbier,"3,60%",Brouwerij Huyghe,1995?-heden
Floris Pear,fruitbier,"3,50%",Brouwerij Huyghe,?-heden
Floris Pomme / Apple,fruitbier,"3,50%",Brouwerij Huyghe,1995?-heden
Floris Witbier,witbier,"5,00%",Brouwerij Huyghe,1995?-heden
Florival Blond,abdijbier,"7,00%",Affligem Brouwerij (Brouwerij De Smedt),?-heden (1994-heden)
Florival Bruin,donkerbruin,"7,00%",Affligem Brouwerij,1956-heden (1994-heden
Florival Tripel,tripel,"8,50%",Affligem Brouwerij,1957-heden (e 1999-heden)
Florival Winter,roodbruin,"9,00%",Affligem Brouwerij,?-heden (e 2003-heden)
*Foewerbier*,amber,"7,00%",Brouwerij Kerkom,?-?
Forestinne Ambrosia,amber,"7,50%",Brasserie Caracole,?-?
Forestinne Gothika,scotch,"7,50%",Brasserie Caracole,?-?
Forestinne Mysteria,blond speciaalbier,"7,50%",Brasserie Caracole,?-?
Forestinne Nordika,kerstbier,"7,50%",Brasserie Caracole,?-?
Forestinne Primoria,blond,"7,50%",Brasserie Caracole,?-?
Fort Lapin 8,tripel,"8,00%",Brouwerij Fort Lapin,2011-heden
Fortun,blond,"7,50%",t Hofbrouwerijke in opdracht van Kempens Landschap voor het Fort van Duffel,?-?
Fortha Blonde,blond,,Brouwerij Verkest,ca'30-1952
Fortha Bruin,bruin,,Brouwerij Verkest,ca'30-1952
Fortha Speciaal,,,Brouwerij Verkest,?-1952
Framboise Boon,"lambiek, fruitbier","6,00%",Brouwerij Boon,1970-heden
Framboise Girardin,"lambiek, fruitbier","5,00%",Brouwerij Girardin,?-heden
Framboise Lindemans,"lambiek, fruitbier","2,50%",Brouwerij Lindemans,1980-heden
Framboise Max Jacobins,"lambiek, fruitbier","3,00%",Brouwerij Bockor,?-heden
Framboise Oud Beersel,"lambiek, fruitbier","5,00%",Brouwerij Oud Beersel,?-heden
Frasnoise Givrée,amber,"6,30%",Brasserie La Frasnoise,?-?
Frasnoise Rétro,amber,"6,30%",Brasserie La Frasnoise,?-?
Freaky,Brown ale,"3,80%",Brouwerij Alvinne,?-?
Freaky Dark,lambiek,"3,80%",Brouwerij Alvinne,?-?
Freedom Pils,pils,"5,20%",Alken-Maes (Heineken),2001-heden
*Fruitig Bierreke*,fruitbier,"8,20%",Brouwerij DijkWaert,2011-2012
Fruitig Bierreke,fruitbier,"6,00%",Brouwerij DijkWaert,2012-heden
Gageleer,biologisch bier,"7,50%",De Proefbrouwerij voor Natuurpunt,?-heden
Gamma,bruin,"6,00%",Brouwerij Anders! voor *Brussels Beer Project*,?-?
Gandavum Dry Hopping,blond,"7,50%",De Proefbrouwerij voor *Het Waterhuis aan de bierkant*,2005-heden
Gaspar,amber,"8,00%",Brouwerij Alvinne,?-heden
Gauloise Ambrée,amber,"5,50%",Brasserie Du Bocq,1858?-heden
Gauloise Blonde,blond,"6,30%",Brasserie Du Bocq,1858?-heden
Gauloise Brune,bruin,"8,10%",Brasserie Du Bocq,1858?-heden
Gauloise Red,fruitbier,"8,20%",Brasserie Du Bocq,?-heden
Gauloise Christmas,kerstbier,"8,10%",Brasserie Du Bocq,?-heden
Gentse Strop,blond,"6,90%",Brouwerij Roman,2011-heden
Gentse Tripel,blond,"8,00%",Brouwerij Van Steenberge,?-heden
Gertrude Ambrée,"amber, hoge gisting","6,00%",Brasserie de Bouillon,2007-heden
Gertrude Triple,tripel,"7,50%",De Proefbrouwerij,2009-heden
Geuze Cantillon 100% Lambic Bio,geuze,"5,00%",Brouwerij Cantillon,?-heden
Gueuze Girardin,geuze,"5,00%",Brouwerij Girardin,?-?
Gueuze Girardin gefilterd,geuze,"5,00%",Brouwerij Girardin,?-?
Geuze Jacobins,geuze,"5,50%",Brouwerij Bockor,?-heden
Geuze Lindemans,geuze,"5,50%",Brouwerij Lindemans,?-heden
Geuze Mariage Parfait,geuze,"8,00%",Brouwerij Boon,?-?
Ghulden Cop,donkerblond,"6,00%",Brouwerij De Graal,?-?
Gigi speciale,tafelbier,"2,50%",Brasserie Gigi,?-?
Gildenbier,"hoge gisting, bruin","7,00%",Brouwerij Haacht,?-?
Ginder Ale,"hoge gisting, amber","5,10%",InBev,1928-heden
Glutaner,glutenvrij pilsener,"5,20%",Brouwerij Huyghe,?-?
Goedendag,goudblond,"8,00%",Brouwerij Toye,?-?
Goeie Koffe,stout,"9,50%",Brouwerij DijkWaert,2011-heden
Goliath Blonde,"hoge gisting, blond","5,50%",Brasserie des Légendes,?-?
Goliath Triple,"hoge gisting, tripel","9,00%",Brasserie des Légendes,?-?
Golden Kenia,pils,"5,10%",Brouwerij Huyghe,1945-heden
Golding Campina,pils,"4,80%",Alken-Maes (Heineken),1930-heden
Gold Pils,pils,"5,00%",Brouwerij Bavik,?-heden
"Gordon 0,00",alcoholvrij,"0,00%",Group John Martin,?-?
Gordon Finest Chrome,hoge gisting,"10,50%",Group John Martin,?-?
Gordon Finest Copper,hoge gisting,"6,60%",Group John Martin,?-?
Gordon Finest Gold,hoge gisting,"10,00%",Group John Martin,1992-heden
Gordon Finest Platinum,hoge gisting,"12,00%",Group John Martin,?-?
Gordon Finest Red,"hoge gisting, rood","8,40%",Group John Martin,2001-heden
Gordon Finest Scotch,scotch,"8,60%",Group John Martin,?-heden
Gordon Finest Silver,hoge gisting,"7,70%",Group John Martin,2001-heden
Gordon Finest Zero,alcoholvrij,"0,00%",Group John Martin,?-?
Gordon Five,pils,"5,00%",Group John Martin,?-?
Gordon Xmas,kerstbier,"8,80%",Brouwerij Palm voor Group John Martin,?-heden
*Goud Vuur*,"amber, tripel","9,00%",Brouwerij DijkWaert,2010-2013
*Gouden Arend 125*,goudblond,"8,50%",Brouwerij De Ryck,2011-2011
Gouden Carolus Ambrio,amber,"8,00%",Brouwerij Het Anker,1980-heden
Gouden Carolus Christmas,donker speciaalbier,"10,50%",Brouwerij Het Anker,2002-heden
Gouden Carolus Classic,donker speciaalbier,"8,50%",Brouwerij Het Anker,?-heden
Gouden Carolus Easter,donker speciaalbier,"10,00%",Brouwerij Het Anker,?-heden
Gouden Carolus Hopsinjoor,blond speciaalbier,"8,00%",Brouwerij Het Anker,2008-heden
Gouden Carolus Tripel,tripel,"9,00%",Brouwerij Het Anker,?-heden
Gouden Pier Kloeffe,"hoge gisting, tripel","8,10%",De Proefbrouwerij voor Brouwerij Slaapmutske,?-?
Goudster,,"6,00%",Brouwerij Anders! voor Verenigde Brouwers,?-?
Gouyasse Tradition,"hoge gisting, blond","6,00%",Brasserie des Géants,?-?
Gouyasse Triple,triple,"9,00%",Brasserie des Géants,?-?
Grand Cru Bruocsella,lambiek,"5,00%",Brasserie Cantillon,?-?
Green Buzz,biologisch,"6,00%",Brasserie Millevertus,?-?
Grelotte,kerstbier,"9,00%",Brasserie Grain d'Orge,?-?
Gribousine Blonde,hoge gisting,"8,50%",Brasserie La Binchoise (voor Brasserie de Malonne),?-?
Gribousine Brune,hoge gisting,"8,00%",Brasserie La Binchoise (voor Brasserie de Malonne),?-?
Gribousine Hiver,winterbier,"8,50%",Brasserie La Binchoise (voor Brasserie de Malonne),?-?
*Griboval*,hoge gisting,"6,50%",Brouwerij Van Den Bossche voor Scouts Moen 50 jaar (2011),?-?
Grimbergen Blond,abdijbier hoge gisting,"6,70%",Alken-Maes (Heineken - Carlsberg),1993-heden
Grimbergen Cuvée de l'Ermitage,hoge gisting,"7,50%",Alken-Maes (Heineken - Carlsberg),?-heden
Grimbergen Dubbel,hoge gisting,"6,50%",Alken-Maes (Heineken - Carlsberg),1958-heden
Grimbergen Goud 8°,"hoge gisting, blond","8,00%",Alken-Maes (Heineken - Carlsberg),2008-heden
Grimbergen Optimo Bruno,hoge gisting,"10,00%",Alken-Maes (Heineken - Carlsberg),1988-heden
Grimbergen Selection,"donker, dubbel","7,00%",Alken-Maes (Heineken - Carlsberg),?-heden
Grimbergen Tripel,tripel,"9,00%",Alken-Maes (Heineken - Carlsberg),1962-heden
Grimbergen Winter,winterbier,,Alken-Maes (Heineken - Carlsberg),2012-heden
Grisette Ambrée,amber,"5,00%",Brouwerij St-Feuillien,?-?
Grisette Blanche,witbier,"5,00%",Brouwerij St-Feuillien,?-?
Grisette Blonde,blond,"4,50%",Brouwerij St-Feuillien,?-?
Grisette Cérise,fruitbier,"3,50%",Brouwerij St-Feuillien,?-?
Grisette Country Cool,,"3,50%",Brouwerij St-Feuillien,?-?
Grisette Fruits des Bois,fruitbier,"3,50%",Brouwerij St-Feuillien,?-?
Groenen tuinbier,,"8,50%",Brouwerij Van Steenberghe,?-?
Grotten Flemish Ale,"hoge gisting, Belgian strong ale","7,70%",Brouwerij St-Bernardus,?-heden
Grottenbier,hoge gisting,"6,50%",Brouwerij St-Bernardus,?-heden
Gruut Amber,amber,"6,60%",Stadsbrouwerij Gruut,2009?-heden
Gruut Blond,blond,"5,50%",Stadsbrouwerij Gruut,2009?-heden
Gruut Bruin,bruin,"8,00%",Stadsbrouwerij Gruut,2009?-heden
Gruut Inferno,goud,"9,00%",Stadsbrouwerij Gruut,?-heden
Gruut Wit,witbier,"5,00%",Stadsbrouwerij Gruut,?-heden
*Guido*,hoge gisting,"8,00%",Brouwerij De Regenboog,?-?
Gulden Delle,mengbier,"8,50%",Brouwerij De Vlier,2010-heden
Gulden Draak,"hoge gisting, donker","10,50%",Brouwerij Van Steenberge,?-heden
Gulden Draak Vintage,"hoge gisting, kerst","17,50%",Brouwerij Van Steenberge,?-heden
Gulden Draak 9000 Quadruple,"hoge gisting, donker","10,50%",Brouwerij Van Steenberge,2011-heden
Guldenberg,donkerblond abdijbier,"8,50%",Brouwerij De Ranke,1994-heden
Gypsy Rose,amber,"9,00%",Brasserie Sainte-Hélène,2005-heden
Haanse Witte,witbier,"5,50%",Brouwerij Strubbe voor den Haene,2006-heden
Halleschelle,blond,"8,50%",Brouwerij Alvinne,2004-heden
Hanssens Lambic Experimental Cassis,"lambiek, fruitbier","4,00%",Brouwerij Hanssens,?-?
Hanssens Lambic Experimental Raspberry,"lambiek, fruitbier","4,00%",Brouwerij Hanssens,?-?
Hapkin,"hoge gisting, blond","8,50%",Alken-Maes (Heineken),?-heden
*Harelbekenaar van de abdijhoeve*,"roodbruin, etiketbier","6,00%",Brouwerij Van Eecke,1955-heden (e?-?)
Hector,"hoge gisting, tripel","8,20%",Brouwerij De Graal,?-heden
Heer van Biesen,"blond, Brett-bier","6,20%",De Proefbrouwerij,?-?
Heksemiebier,hoge gisting,"6,20%",Microbrouwerij Achilles,2005-heden
Hellekapelle,blond,"5,00%",Brouwerij De Bie,?-?
Helleketelbier,amber,"7,00%",Brouwerij De Bie,?-?
Hengstenbier,"roodbruin, hoge gisting","5,00%",Brouwerij Strubbe,1928-?
Hercule Stout,stout,"9,00%",Brasserie des Légendes,?-?
Herkenrode Bruin,"abdijbier, bruin","7,00%",Brouwerij Sint-Jozef,2009-heden
Herkenrode Tripel,"abdijbier, tripel","7,00%",Brouwerij Sint-Jozef,2009?-heden
*Hertalse Poorter*,"hoge gisting, blond","6,50%",Brouwerij Slaghmuylder,?-?
Hertenheer,"hoge gisting, amber","6,50%",Scheldebrouwerij voor Brouwerij Het Nest,2009-heden
Hervoise,hoge gisting,"8,20%",Brasserie Grain d'Orge,
Hik Blond,"hoge gisting, ale","6,50%",Brouwerij Het Alternatief bij Brouwerij De Graal,2005-heden
Hik Bruin,hoge gisting,"6,50%",Brouwerij Het Alternatief bij Brouwerij De Graal,?-heden
Himelein,hoge gisting,"6,00%",Brouwerij Vissenaken,
Hoegaarden,"hoge gisting, witbier","4,90%",Brouwerij De Kluis (InBev),1966-heden
"Hoegaarden 0,0",alcoholvrij witbier,"0,00%",Brouwerij De Kluis (InBev),?-?
"Hoegaarden 0,0 Rosée",alcoholvrij fruitbier,"0,00%",Brouwerij De Kluis (InBev),?-he'den
Hoegaarden Citron,fruitbier,"3,00%",Brouwerij De Kluis (InBev),2008-heden
Hoegaarden Grand Cru,hoge gisting,"8,50%",Brouwerij De Kluis (InBev),?-?
Hoegaarden Rosée,fruitbier,"3,00%",Brouwerij De Kluis (InBev),2007-heden
Hoegaarden Spéciale,"hoge gisting, goudblond","5,70%",Brouwerij De Kluis (InBev),?-heden
Hoegaarden Verboden Vrucht,fruitbier,"8,80%",Brouwerij De Kluis (InBev),?-heden
Hof Korvatunturi,"hoge gisting, bruin","11,00%",t Hofbrouwerijke,2008-heden
Hof ten Dormaal Amber,hoge gisting,"7,50%",Brouwerij Hof ten Dormaal,2009-heden
Hof ten Dormaal Blond,hoge gisting,"8,00%",Brouwerij Hof ten Dormaal,2010-heden
Hof ten Dormaal Donker,hoge gisting,"8,50%",Brouwerij Hof ten Dormaal,2010-heden
*Hof ten Dormaal Winter 10*,hoge gisting,"8,00%",Brouwerij Hof ten Dormaal,2009-2010
Hofblues,stout,"5,50%",t Hofbrouwerijke,?-?
Hofdraak,bruin,"6,50%",t Hofbrouwerijke,2006-heden
Hofelf,tarwetripel,"7,50%",t Hofbrouwerijke,2007-heden
Hofnar,amber,"9,00%",t Hofbrouwerijke,?-heden
*Hofpint*,"hoge gisting, pils","5,50%",t Hofbrouwerijke,?-?
Hoftrol,amber,"6,20%",t Hofbrouwerijke,?-?
Holger,pils,"5,00%",Brouwerij Martens,?-?
Holsbeek Lentetripel,tripel,"8,50%",Brouwerij De Vlier,?-?
Hommelbier,"goudkleurig, hoge gisting","7,50%",Brouwerij Van Eecke,1981-heden
Hop Harvest,sterk donker,"8,00%",Brouwerij De Ranke,2010-?
Hopkikker,,"7,00%",Brouwerij Boelens,?-?
Hop Ruiter,tripel,"8,00%",Scheldebrouwerij,2010-?
Hopjutters Triple Hop,India Pale Ale,"7,30%",Brouwerij De Graal voor De Hopjutters,?-?
*Hop-La*,tripel,,Brouwerij Vermylen,?-?
Hoppa Hontas,India Pale Ale,"6,50%",Brouwerij Maenhout,2012-heden
Hoppe,pils,"5,00%",Brouwerij Van Steenberge,?-?
Hoppesnoet,Belgian ale,"8,50%",Huisbrouwerij Den Tseut,?-?
Hopus,"hoge gisting, goudblond","8,30%",Brouwerij Lefebvre,2008-heden
Hopverdomme,imperial/double IPA,"7,50%",De Struise Brouwers,?-?
Hop Verdomme IPA,IPA,"7,00%",Brouwerij Kerkom,?-?
Horal's Oude Geuze Mega Blend,geuze,"7,00%","3 Fonteinen, Brouwerij Boon, Timmermans, Oud Beersel, Lindemans, De Troch, 
De Cam, Hanssens","2009, 2011,"
Horse-Ale,Spéciale belge,"5,00%",AB-InBev,?-?
Horst bier,"lage gisting, blond","6,50%",Brouwerij Haacht,?-?
Hotteuse Grand Cru,donker,"8,00%",Affligem Brouwerij,?-?
Houblon Chouffe Dobbelen IPA Tripel,India Pale Ale,"9,00%",Brouwerij d'Achouffe (Duvel-Moortgat),2006-heden
*Hougaerdse Das*,"hoge gisting, amber","5,10%",Brouwerij De Kluis (InBev),1996-2009
Houten Kop,speciaalbier,"6,50%",Brouwerij Strubbe,1988-heden
Huardis,witbier,"5,20%",Brouwerij Nieuwhuys,2009-heden
Ichtegem’s grand cru,,"6,50%",Brouwerij Strubbe,2006-heden
Ichtegem's Oud Bruin,"roodbruin, hoge gisting","5,00%",Brouwerij Strubbe,1928-heden
Ignis & Flamma,IPA,"7,00%",De Struise Brouwers bij Brouwerij Deca,2007-heden
Inglorious Quad,Quadrupel,"10,30%",Brouwerij Anders! voor Inglorious Brew Stars,?-?
IM-JIN,amber,"7,50%",Brasserie Grain d'Orge,?-?
Iris,"spontane gisting, amber","6,00%",Brouwerij Cantillon,1996-heden
Irma,fruitbier,"6,00%",voor bierfirma Vacas,?-heden
Itters Bruin,tafelbier,"1,30%",Brouwerij Sint-Jozef,?-heden
Jack’Ouille,blond,"5,50%",Brasserie de Bouillon,?-?
*Jack-Op*,,,Brouwerij Jack-Op,1869-1965
Jack-Op,gemengde gisting,"5,50%",Brouwerij Boon,2010-heden
Jaded Stillwater Artisanal,Belgo/american ale,"10,00%",De Struise Brouwers bij Brouwerij Deca,?-?
Jambe-de-bois,tripel,"8,00%",Brouwerij De Ranke voor Brasserie de la Senne,?-heden
Jan Buuc,etiketbier,"7,50%",Brouwerij Het Sas,1955-heden (e ?-heden)
Jan De Lichte,witbier,"7,00%",Brouwerij De Glazen Toren,2005-heden
*Jan van Gent*,blond,"5,50%",Brouwerij Liefmans,?-?
Jan van Oudenaarde,blond,"8,00%",Brouwerij Slaapmutske,2012-heden
Janus Triple,tripel,"8,00%",Brouwerij De Ranke,?-?
Jean Nicot,"tripel, tabaksbier","8,50%",Brouwerij De Graal,2011-heden
Jeanke,Blonde,,Brasserie St. Jean,?-?
Jessenhofke Arvum,"hoge gisting, biologisch","6,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2013-heden
Jessenhofke Bière de Garde,"hoge gisting, biologisch","9,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2010-heden
Jessenhofke Bruin,"hoge gisting, biologisch","7,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2009-heden
Jessenhofke Lichtblond,,,De Proefbrouwerij voor Brouwerij Jessenhofke,2011-heden
Jessenhofke Maya,"hoge gisting, biologisch","6,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2009-heden
Jessenhofke Pimpernelle,"hoge gisting, biologisch","8,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2010-heden
Jessenhofke Reserva,"hoge gisting, biologisch","9,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2010-heden
Jessenhofke Schelpje,"hoge gisting, biologisch","9,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2014-heden
Jessenhofke Tafelbier,,,De Proefbrouwerij voor Brouwerij Jessenhofke,2011-heden
Jessenhofke Tripel,"hoge gisting, biologisch, tripel","8,00%",De Proefbrouwerij voor Brouwerij Jessenhofke,2002-heden
*Jezuwiet*,"hoge gisting, tripel","8,50%",Brouwerij Boelens,2010-2010
Johannes,streekbier,"6,50%",Brouwerij De Graal voor bierfirma Johannes,2007-heden
Joseph,"hoge gisting, blond, spelt","5,40%",Brasserie de Silenrieux,1991-heden
Joseph Bio,"hoge gisting, blond, spelt","5,40%",Brasserie de Silenrieux,?-heden
Joup,hoge gisting,"7,50%",Brasserie Grain d'Orge,2003-heden
Julius,"hoge gisting, bruin","8,70%",Brouwerij De Kluis (InBev),1987-? en 2012-heden
Judas,"hoge gisting, okerblond","8,50%",Alken-Maes (Heineken) (vroeger Brouwerij Union),1986-heden
Jules de Bananes,"fruitbier, wit","4,90%",Brouwerij De Ryck,2006-heden
Jules de Kriek,"fruitbier, robijnrood","4,90%",Brouwerij De Ryck,2006-heden
Jupiler,pils,"5,20%",Brouwerij Piedbœuf,1966-heden
Jupiler Blue,"lage gisting, pils","3,30%",Brouwerij Piedbœuf (InBev),2006-heden
Jupiler NA,alcoholarm,"0,50%",Brouwerij Piedbœuf (InBev),?-heden
Jupiler New Tauro,lage gisting,"6,20%",Inbev,2012-heden
Jupiler Tauro,lage gisting,"8,30%",Inbev,2008-2012
Kalle,tripel,"8,00%",Brouwerij Gulden Spoor,2007-heden
Kameleon Amber,biologisch,"6,50%",Brouwerij Den Hopperd,1996?-heden
Kameleon Donker,biologisch,"6,00%",Brouwerij Den Hopperd,1996?-heden
Kameleon Ginseng,biologisch,"6,50%",Brouwerij Den Hopperd,1996?-heden
Kameleon Tripel,biologisch,"8,50%",Brouwerij Den Hopperd,1996?-heden
Kamil,hoge gisting,"6,50%",De Proefbrouwerij voor bierfirma BVG,2004-heden
*Kapel van Viven Blond*,blond,"6,80%",De Proefbrouwerij voor Beerdevelopment Viven,1999-2003 en 2006-heden
*Kapel van Viven Bruin*,bruin,"6,60%",De Proefbrouwerij voor Beerdevelopment Viven,1999-2003 en 2006-heden
*Kapittel Abt*,bruin,"10,00%",Brouwerij Van Eecke,1964-heden
Kapittel Blond,blond,"6,50%",Brouwerij Van Eecke,?-heden
Kapittel Dubbel,bruin,"7,50%",Brouwerij Van Eecke,?-heden
Kapittel Pater,bruin,"6,00%",Brouwerij Van Eecke,1955-heden
Kapittel Prior,bruin,"9,00%",Brouwerij Van Eecke,?-heden
Kapittel Tripel Abt,tripel,"10,00%",Brouwerij Van Eecke,1964-heden
Karlsquell,pils,"4,60%",Brouwerij Martens,?-heden
Kastaar,blond,"6,00%",Brouwerij De Block,1982-heden
Kasteel Blond,"blond, hoge gisting","7,00%",Brouwerij Van Honsebrouck,?-heden
Kasteel Cuvée du Château,donker,"11,00%",Brouwerij Van Honsebrouck,?-heden
Kasteel Donker,donker,"11,00%",Brouwerij Van Honsebrouck,1989-heden
Kasteel Hoppy,blond,"6,50%",Brouwerij Van Honsebrouck,2013-heden
Kasteel Rouge,kriek,"8,00%",Brouwerij Van Honsebrouck,2007-heden
Kasteel Tripel,tripel,"11,00%",Brouwerij Van Honsebrouck,1989-heden
*Kasteelbier Blond*,blond,"11,00%",Brouwerij Van Honsebrouck,1989-heden
*Kasteelbier Bruin*,bruin,"11,00%",Brouwerij Van Honsebrouck,1989-heden
*Kasteelbier Ooidonk*,etiketbier,"11,00%",Brouwerij Van Honsebrouck,1989-heden (e ?-?)
Kastel,amber,"7,00%",De Proefbrouwerij in opdracht van De Kastelse Biervereniging,
Kastels pompoenbier,"tarwebier, met pompoen",,De Proefbrouwerij in opdracht van De Kastelse Biervereniging,
Katje Special,"hoge gisting, ale","6,00%",Brouwerij Het Sas,1955-heden
Kd (kadee) blond,"hoge gisting, blond","6,20%",Brouwerij Dilewyns voor brouwerij Kadee,
Kd (kadee) bruin,"hoge gisting, ale","7,00%",Brouwerij Dilewyns voor brouwerij Kadee,
Keikop Saison,saison,"6,50%",Brouwerij De Graal voor Brouwerij De Kassei,2013-heden
Keikop Tripel,tripel,"8,70%",Brouwerij De Graal voor Brouwerij De Kassei,2009-heden
Keikoppenbier,"blond, biologisch","6,10%",Brouwerij De Plukker,2012-heden
*Keizer Karel*,bruin,"9,00%",Brouwerij Haacht,70-1999
Keizer Karel Robijn Rood,robijnrood,"8,50%",Brouwerij Haacht,1999-heden
Keizer Karel Goud Blond,blond,"8,50%",Brouwerij Haacht,2006-heden
Keizersberg,abdijbier,"9,00%",Brouwerij Van Steenberge,1994-heden
Kempisch Vuur 3-Dubbel,bruin,"7,50%","De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger Microbrouwerij 
Paeleman",2006-heden
Kempisch Vuur Haverstout,donkere stout,"6,50%",De Proefbrouwerij in opdracht van Brouwerij Pirlot,2012-heden
Kempisch Vuur Hoppergod,blond,"6,00%",De Proefbrouwerij in opdracht van Brouwerij Pirlot,2012-heden
Kempisch Vuur Jeneverbes,blond,"6,50%",De Proefbrouwerij in opdracht van Brouwerij Pirlot,2012-heden
Kempisch Vuur Tripel,tripel,"7,50%","De Proefbrouwerij in opdracht van Brouwerij Pirlot (vroeger Microbrouwerij 
Paeleman",2000-heden
Kerasus,donkerrood,"5,50%",Brouwerij Alvinne,?-?
Kerelsbier Donker,etiketbier,"6,40%",Brouwerij Het Sas,1955-heden (e 1983-heden)
Kerelsbier Licht,etiketbier,"6,40%",Brouwerij Het Sas,?-heden (e 1983-heden)
*Kerkomse Tripel*,tripel,"9,00%",Brouwerij Kerkom bij Brouwerij Sint-Jozef,2003-2014
Kerstpater,"hoge gisting, kerstbier","9,00%",Brouwerij Van Den Bossche,2000-heden
Kerstbie,"donker, kerstbier","8,00%",Brouwerij De Bie,?-?
*KerstSmiske*,"donker, kerstbier","11,00%",Brouwerij Smisje,?-?
Kerstvuur,kerstbier,"8,00%",De Proefbrouwerij voor Brouwerij Pirlot,?-heden
Kessel 69,hoge gisting,"6,90%",Brouwerij De Vlier,2008-heden
Kessel Blond,hoge gisting,"7,50%",Brouwerij De Vlier,2008-heden
Keyte,"blond, hoge gisting","7,50%",Brouwerij Strubbe,2004-heden
Keyte-Dobbel-Tripel,"robijnrood, hoge gisting","9,20%",Brouwerij Strubbe,2007-heden
Klets blond,bovengisting,"8,00%",Brouwerij Bier & Karakter bij Brouwerij Deca,?-?
Klets bruin,bovengisting,"6,50%",Brouwerij Bier & Karakter bij Brouwerij Deca,?-?
Klets Extra Hop,IPA,"8,00%",Brouwerij Bier & Karakter bij Brouwerij Deca,?-?
Kleveretien,"hoge gisting, winterbier","10,00%",De Scheldebrouwerij voor Brouwerij Het Nest,2010-heden
Klingse Kalsei,"hoge gisting, streekbier","8,00%",Brouwerij Van Steenberge,1978-heden (e ?-?)
Kloefkapper,tarwebier,"5,70%",Brouwerij 't Paenhuys,?-?
Kloeke Blonde,"hoge gisting, Belgische blonde ale","6,00%",De Struise Brouwers,?-heden
Klokke Roeland,donker,,Brouwerij Van Steenberge,?-?
*Klooster van Viven*,bruin,"6,60%",De Proefbrouwerij voor Beerdevelopment Viven,1999-2003 en 2006-2010
Koantjesbier,hoge gisting,"7,00%",De Proefbrouwerij voor Bierfirma Vacas,?-?
Koekelaring,hoge gisting,"6,50%",Brouwerij De Graal voor De Hoevebrouwers,?-?
Koeketiene,tripel,"8,50%",Brouwerij Maenhout,2010-heden
Koerseklakske,hoge gisting,"5,50%",Brouwerij 't Gaverhopke,2009-heden
Korsakoff,ongefilterd blond bier,"6,50%",t Hofbrouwerijke,?-?
Kortrijk-dUtsel,brutbier,"8,50%",Brouwerij Kortrijk-dUtsel,?-?
Krab,blonde ale,"5,20%",Scheldebrouwerij,?-?
Kriek Belgique,fruitbier,"3,50%",Brasserie du Bocq,?-?
Kriek Boon,lambiek,"4,50%",Brouwerij Boon,?-?
Kriek Cantillon 100% Lambic,lambiek,"5,50%",Brouwerij Cantillon,?-?
Kriek De Ranke,fruitbier,"4,50%",Brouwerij De Ranke,?-heden
Kriek de Silenrieux,fruitbier,"4,50%",Brasserie de Silenrieux,?-?
Kriek Fantastiek,"fruitbier, roodbruin","4,90%",Brouwerij De Ryck,?-?
Kriek Girardin,lambiek,"5,00%",Brouwerij Girardin,?-heden
Kriek Jacobins,lambiek,"4,50%",Brouwerij Bockor,?-heden
Kriek Lindemans,lambiek,"3,50%",Brouwerij Lindemans,1809-heden
Kriek Mariage Parfait,lambiek,"8,00%",Brouwerij Boon,?-?
Kriekedebie,fruitbier,"4,40%",Brouwerij De Bie,?-?
Kriekenbier,"fruitbier, lage gisting","4,00%",Brouwerij Sint-Jozef,?-?
Kriekenbier,fruitbier,"4,50%",Brouwerij Strubbe,1996-heden
Kriek Max,fruitbier,"3,20%",Brouwerij Bockor,2002-heden
Kwaremont,"blond, hoge gisting","6,60%",Brouwerij Bavik,2010-heden
Kwets,blond tarwebier,"6,80%","Brouwerij Van Steenberge voor Microbrouwerij Paeleman in opdracht van Kwets 
vzw",2007-heden
Kwibus Blond,"blond, hoge gisting","6,40%",Brouwerij Danny,2008-heden
Kwibus Donker,hoge gisting,"6,40%",Brouwerij Danny,2008-heden
