BeerBrand,BeerType,AlcoholPercentage,Brewery,
Belle-Vue Kriek,kriek,"5,20%",Brouwerij Belle-Vue (InBev),?-heden
Belle-Vue Kriek Classique,Kriek,"5,10%",Brouwerij Belle-Vue (Inbev),?-heden
*Belle-Vue Kriek Primeur*,lambiek,"5,50%",Brouwerij Belle-Vue (InBev),1992-2004
Belle-Vue Extra Kriek,kriek,"4,30%",Brouwerij Belle-Vue (InBev),2004-heden
Belle-Vue Gueuze,lambiek,"5,50%",Brouwerij Belle-Vue (InBev),?-heden
*Belle-Vue Selection Lambik*,lambiek,,Brouwerij Belle-Vue (InBev),1991-1999
Belle-Vue LA,Alcoholarm,"1,00%",Brouwerij Belle-Vue (Inbev),?-heden
Bellebier Amber,amber,"5,20%",Brouwerij Van Steenberge voor Paeleman,
Bellebier Dubbel,bruin,"6,20%",Brouwerij Van Steenberge voor Paeleman,
Bellebier Trippel,tripel,"8,00%",Brouwerij Van Steenberge voor Paeleman,
*Bellegems Bruin*,Vlaams oud bruin,"5,50%",Brouwerij Bockor,?-2012
Bellegems Witbier,witbier,"5,00%",Brouwerij Bockor,2008-heden
*Belval*,blond,"4,80%",Gageleer,2010-2012
Berentemmer,bruin,"7,00%",Brouwerij Maenhout,2011-heden
Bersalis Tripel,"blond, hoge gisting, tripel","9,50%",Brouwerij Huyghe voor Brouwerij Oud Beersel,2005-heden
Bersalis Kadet,blond,"4,50%",Brouwerij Huyghe voor Brouwerij Oud Beersel,2005-heden
Bertinchamps Blonde,blond,"6,20%",Brasserie de Bertinchamps,
Bertinchamps Brune,bruin,"7,00%",Brasserie de Bertinchamps,
Bertinchamps Triple,tripel,"8,00%",Brasserie de Bertinchamps,
Beta,donkeramber,"6,00%",Brouwerij Anders! voor *Brussels Beer Project*,
Betchard Brune,bruin,"7,00%",Brasserie de Tubize,
Betchard Blonde,blond,"5,50%",Brasserie de Tubize,
Bieken,blond,"8,00%",Brouwerij Boelens,1993-heden
Bierbeekse,"blond-amber, hoge gisting","7,30%",Brouwerij Van Steenberge voor de gemeente Bierbeek en Terclavers,2003-heden
*Bierbuik*,donker,"8,00%",De Verhuisbrouwerij,1999-?
Bière Darbyste,amber,"5,80%",Brasserie de Blaugies,1990-heden
Bière de Beloeil,hoge gisting,"8,50%",Brasserie Dupont,1988-heden
Bière de Garde,"biologisch, roodbruin","10,00%",Brouwerij Jessenhofke bij De Proefbrouwerij,2010-heden
Bière de la Bonde,tripel,"10,00%",Brouwerij Van Eecke,1964-heden (e 1991-heden)
*Bière de Miel Bio*,honingbier,"8,00%",Brouwerij Rimaux-Deridder,1880-1920
Bière de Miel Bio,"biologisch, honingbier","8,00%",Brouwerij Dupont,1997-heden
Bière des Ours (Berenbier),honingbier,"8,50%",Brasserie La Binchoise,1995-heden
Bière du Corsaire Cuvée Spéciale,sterk blond,"9,40%",Brouwerij Huyghe,1992-heden
Bière du Mont Saint-Aubert,blond,"8,00%",Brasserie de Brunehaut,1993-heden
Bière Spéciale Belge,Spéciale Belge,"5,00%",Brasserie La Binchoise,2003-heden
Big Bavik,blond,"5,00%",Brouwerij Bavik,
Bierpruver Dubbel Bruin,dubbel,"7,50%",Huisbrouwerij de 3 vaten,2011-heden
Bierpruver Tripel,tripel,"9,00%",Huisbrouwerij de 3 vaten,2011-heden
Bierpruver Winter,winterbier,"8,00%",Huisbrouwerij de 3 vaten,?-heden
Big Bayou,met cajunkruiden,"4,00%",Brouwerij Smisje,
Bink Blond,Belgische pale ale,"5,50%",Brouwerij Kerkom,1988-heden
Bink Bruin,dubbel,"5,50%",Brouwerij Kerkom,
Bink Bloesem,blond,"7,10%",Brouwerij Kerkom,2000-heden
Bink Tripel,tripel,"9,00%",Brouwerij Kerkom,2003-heden
Biolégère,biologisch,"3,50%",Brouwerij Dupont,1992-heden
*Bioloo Amber*,biologisch,"7,80%",Brouwerij Belgoobeer bij Brouwerij La Binchoise,?-heden
*Bioloo Blond*,biologisch,"6,40%",Brouwerij Belgoobeer bij Brouwerij La Binchoise,?-heden
Bitter Sweet Symphony,dubbele IPA,"7,80%",Brouwerij 't Gaverhopke,
Bittere Waarheid,Belgian IPA,"11,00%",Brouwerij Het Alternatief bij Brouwerij De Graal,
Black,donkere ale,"6,30%",Brasserie de Bellevaux,?-heden
Black Albert,Belgian Royal Stout,"13,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation,Russian Imperial Stout,"13,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation I (Albert),Russian Imperial Stout,"13,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation II (Mocha Bomb),Russian Imperial Stout,"12,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation III (Black Mes),Russian Imperial Stout,"13,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation IV (Coffée Club),Russian Imperial Stout,"13,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation V (Double Black),"Russian Imperial Stout, Eisbockmethode","26,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation VI (Messy),"Russian Imperial Stout, Eisbockmethode","39,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation VII (Single Black),"Russian Imperial Stout, Eisbockmethode","2,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation VIII (S.H.I.T)),Russian Imperial Stout,"12,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation IX (Beggars' Art),Russian Imperial Stout,,De Struise Brouwers bij Brouwerij Deca,
Black Damnation X (Double Wood),Russian Imperial Stout,"15,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation XI (Special Kay),"Russian Imperial Stout, Eisbockmethode","22,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation XII (Nuptiale A2),Russian Imperial Stout,"13,00%",De Struise Brouwers bij Brouwerij Deca,
Black Damnation XIII (More anger),Russian Imperial Stout,,De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XIV (Talisman),Russian Imperial Stout,"13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XV (Drone),"Russian Imperial Stout, Eisbockmethode","13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XVI (Ivan the Terrible),"Russian Imperial Stout, Eisbockmethode","13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XVII (Ben),"Russian Imperial Stout, Eisbockmethode","13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XVIII (Major Tom),"Russian Imperial Stout, Eisbockmethode","13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XIX (Maestro),"Russian Imperial Stout, Eisbockmethode","13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XX (Ma Boule),"Russian Imperial Stout, Eisbockmethode","13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XXI (Black Mes SR),"Russian Imperial Stout, Eisbockmethode","13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Damnation XXII (Willy),"Russian Imperial Stout, Eisbockmethode","13,00%",De Struise Brouwers bij Brouwerij Deca,2013-heden
Black Ghost,hoge gisting,"8,00%",Brasserie Fantôme,?-heden
Black Hole,pils,"5,60%",Brouwerij Roman,2005-heden
Black Jack,Porter,"7,00%",De Struise Brouwers bij Brouwerij Deca,
Blanche,witbier,"4,80%",Brasserie de Bellevaux,?-heden
Blanche d'Ardenne,witbier,"4,30%",Brasserie du Bocq voor Corsendonk nv,?-heden
Blanche de Bouillon,witbier,"5,50%",Brasserie de Bouillon,?-heden
Blanche de Brabant,witbier,"5,00%",Groep John Martin,?-heden
Blanche de Bruxelles,witbier,"4,50%",Brouwerij Lefebvre,1989-heden
Blanche de Charleroi,witbier,"5,00%",Brasserie Val de Sambre,2000-heden
Blanche de Francorchamps,witbier,"4,50%",Brouwerij Lefebvre,1989-heden
Blanche de Namur,witbier,"5,20%",Brasserie du Bocq,?-heden
Blanche de Tubize,witbier,"4,80%",Brasserie de Tubize,?-heden
Blanche de Quenast,witbier,"4,50%",Brouwerij Lefebvre,1989-heden
Blanche des Honnelles,witbier,"6,00%",Brasserie de l'Abbaye des Rocs,1991-heden
Blanche des Neiges,witbier,"5,00%",Brouwerij Huyghe,1990-heden
Blanche du Hainaut Bio,"witbier, biologisch","5,50%",Brouwerij Dupont,1999-heden
Blanchette de Gaume,witbier,"5,00%",Brasserie Millevertus,
Blanchette de Lorraine,"witbier, fruitbier","5,00%",Brasserie Millevertus,2005-heden
BLAUW,"pils, Export","5,20%",Brouwerij Bockor,
Blauwersbier,mengbier,"6,50%",Brouwerij Van Eecke,
Bleeken Moriaen,tripel,"10,00%",Brouwerij Van Eecke,1964-heden (e ?-heden)
Blinde Mol,blond,"6,50%",Brouwerij Maenhout bij Brouwerij Gulden Spoor,
Bloemenbier,Belgian Strong Ale,"7,00%",De Proefbrouwerij,
Blonde,blond,"7,00%",Brasserie de Bellevaux,?-heden
Blonde,"blond, lage gisting","1,20%",Brouwerij Haacht,
Blonde Bie,blond,"8,00%",Brouwerij De Bie,?-heden
Blonde de Brabant,blond,"6,00%",Groep John Martin,
Blonde de Noël,blond,"10,00%",Brasserie Caulier,
Blondelle,blond,"7,00%",t Hofbrouwerijke,?-heden
Blondine,blond,"8,00%",Brouwerij Van Steenberge voor Hopduvel Gent,?-heden
Blondine IPA,IPA,"8,00%",Brouwerij De Graal voor Hopduvel Gent,2012-heden
Blusser,pils,"5,00%",Brouwerij Het Anker,1998-2009
Bock Leroy,tafelbier,"1,80%",Brouwerij Het Sas,?-heden
Bock Pils,pils,"5,20%",Brouwerij Palm,?-heden
Bockor Pils,"lage gisting, pils","5,20%",Brouwerij Bockor,?-heden
*Bocq Christmas*,kerstbier,"8,10%",Brasserie Du Bocq,
Boembeke Luiwerk Blond,"blond, licht troebel","6,50%",Brouwerij De Graal,2012-heden
